,Name,Year,Owner_Type,Seats,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine,Power,Price
33,Suzuki Wagon R LXI BSIII,2009,Second,5,83816.0,Petrol,Manual,14.0,1061.0,64.0,1.85
34,Suzuki Vitara Brezza ZDi Plus,2018,First,5,50075.0,Diesel,Manual,24.3,1248.0,88.5,8.63
35,Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,First,5,52000.0,Petrol,Manual,18.15,1198.0,82.0,4.85
36,Mercedes-Benz M-Class ML 350 CDI,2013,First,5,85000.0,Diesel,Automatic,11.74,2987.0,254.8,28.0
37,Volkswagen Polo Diesel Trendline 1.2L,2013,First,5,62000.0,Diesel,Manual,22.07,1199.0,73.9,5.0
38,Suzuki Alto LXi,2008,Second,5,90000.0,Petrol,Manual,19.7,796.0,46.3,1.25
39,Tata Nano LX SE,2014,First,4,19698.0,Petrol,Manual,25.4,624.0,37.5,1.53
40,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,First,6,22033.0,Diesel,Manual,25.32,1198.0,77.0,5.58
41,Hyundai i20 Magna Optional 1.2,2014,First,5,35487.0,Petrol,Manual,18.5,1197.0,82.9,4.74
42,Hyundai Elantra 2.0 SX Option AT,2014,First,5,46374.0,Petrol,Automatic,14.62,1999.0,149.92,8.85
43,Toyota Corolla Altis G AT,2016,First,5,52001.0,Petrol,Automatic,14.28,1798.0,138.03,10.11
44,Hyundai Elantra CRDi,2008,Second,5,58005.0,Diesel,Manual,14.9,1991.0,112.2,4.25
45,Toyota Innova Crysta 2.7 GX MT,2012,First,7,70704.0,Petrol,Manual,11.25,2694.0,163.7,10.95
46,Hyundai Xcent 1.1 CRDi S,2014,First,5,75000.0,Diesel,Manual,24.4,1120.0,71.0,3.85
47,Mahindra Thar CRDe AC,2012,Second,6,75800.0,Diesel,Manual,16.55,2498.0,105.0,5.5
48,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,First,5,13648.0,Diesel,Automatic,17.11,1968.0,174.33,21.43
49,Suzuki Swift LDI,2014,First,5,52000.0,Diesel,Manual,22.9,1248.0,74.0,4.25
50,Suzuki Swift Ldi BSIV,2014,First,5,53000.0,Diesel,Manual,17.8,1248.0,75.0,3.3
51,Suzuki Swift VDI,2013,First,5,65650.0,Diesel,Manual,28.4,1248.0,74.0,3.85
52,Hyundai Grand i10 Sportz,2015,Third,5,54000.0,Petrol,Manual,18.9,1197.0,82.0,3.6
53,Volkswagen Vento 2013-2015 1.6 Comfortline,2015,First,5,39000.0,Petrol,Manual,15.04,1598.0,103.2,3.99
54,Renault KWID RXT,2017,First,5,16542.0,Petrol,Manual,25.17,799.0,53.3,3.3
55,Hyundai i10 Asta,2010,First,5,32000.0,Petrol,Manual,20.36,1197.0,78.9,2.07
56,Nissan X-Trail SLX AT,2010,First,5,121812.0,Diesel,Automatic,13.29,1995.0,147.6,7.75
57,Suzuki Zen Estilo VXI BSIII,2010,First,5,39300.0,Petrol,Manual,18.2,998.0,67.1,2.25
58,Toyota Innova Crysta 2.4 GX MT 8S,2017,First,8,22000.0,Diesel,Manual,13.68,2393.0,147.8,16.5
59,Ford Figo Diesel Titanium,2010,First,5,72000.0,Diesel,Manual,20.0,1399.0,68.0,2.75
60,Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,First,5,58000.0,Petrol,Automatic,11.74,1796.0,186.0,26.7
61,Mercedes-Benz New C-Class 200 CDI Classic,2011,Second,5,65000.0,Diesel,Manual,15.8,2148.0,170.0,10.0
62,Tata Indica V2 eLS,2016,First,5,178000.0,Diesel,Manual,25.0,1396.0,69.0,2.5
63,Audi A4 2.0 TDI Multitronic,2012,First,5,65664.0,Diesel,Automatic,16.55,1968.0,140.0,13.5
64,Honda City ZX CVT,2007,Second,5,63000.0,Petrol,Automatic,16.4,1497.0,78.0,1.85
65,Mercedes-Benz C-Class Progressive C 220d,2019,First,5,15369.0,Diesel,Automatic,0.0,1950.0,194.0,35.67
66,Suzuki Ertiga SHVS VDI,2016,First,7,63000.0,Diesel,Manual,24.52,1248.0,88.5,8.15
67,Hyundai Creta 1.4 E Plus Diesel,2018,First,5,13000.0,Diesel,Manual,22.1,1396.0,88.7,10.5
68,Porsche Cayenne 2009-2014 Turbo,2008,First,5,73000.0,Petrol,Automatic,8.5,4806.0,500.0,14.5
69,Mahindra XUV500 W8 4WD,2015,First,7,55729.0,Diesel,Manual,15.1,2179.0,140.0,9.65
70,Hyundai i10 Sportz 1.2 AT,2012,First,5,45178.0,Petrol,Automatic,16.95,1197.0,78.9,3.48
71,Nissan Terrano XV D Pre,2015,First,5,56066.0,Diesel,Manual,19.64,1461.0,108.5,6.92
72,Honda Brio VX AT,2016,Second,5,37300.0,Petrol,Automatic,16.5,1198.0,86.8,6.46
73,Audi A6 2.0 TDI Design Edition,2014,Second,5,56000.0,Diesel,Automatic,18.53,1968.0,187.74,29.5
74,Toyota Innova 2.0 G1,2006,Third,8,230000.0,Petrol,Manual,12.4,1998.0,132.0,4.5
75,Toyota Innova 2.5 VX 7 STR BSIV,2012,First,7,104000.0,Diesel,Manual,12.8,2494.0,102.0,11.75
76,Suzuki Swift VDI,2012,First,5,95100.0,Diesel,Manual,22.9,1248.0,74.0,3.75
77,Tata Zest Revotron 1.2T XE,2017,First,5,70000.0,Petrol,Manual,17.57,1193.0,88.7,4.5
78,Honda Amaze SX i-VTEC,2016,First,5,54944.0,Petrol,Manual,18.0,1198.0,86.7,4.82
79,Ford Figo Diesel ZXI,2012,First,5,70337.0,Diesel,Manual,20.0,1399.0,68.0,2.8
80,Suzuki Ritz VDi,2013,First,5,99638.0,Diesel,Manual,23.2,1248.0,73.94,3.11
81,Honda City i VTEC E,2009,First,5,52000.0,Petrol,Manual,17.8,1497.0,117.3,3.25
82,BMW 5 Series 2003-2012 525d,2011,Second,5,75000.0,Diesel,Automatic,16.73,1995.0,218.0,13.9
83,Hyundai i10 Sportz 1.2,2009,First,5,95980.0,Petrol,Manual,20.36,1197.0,78.9,2.25
84,Hyundai Grand i10 Sportz,2016,First,5,16000.0,Petrol,Manual,18.9,1197.0,82.0,5.75
85,Honda Amaze SX i-VTEC,2016,First,5,18949.0,Petrol,Manual,17.8,1198.0,86.7,5.0
86,Toyota Fortuner 4x2 Manual,2014,First,7,107000.0,Diesel,Manual,13.0,2982.0,168.5,16.5
87,Audi A6 2011-2015 35 TDI Premium,2018,First,5,48367.0,Diesel,Automatic,17.68,1968.0,174.33,39.58
88,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,First,5,57000.0,Diesel,Manual,22.7,1498.0,89.84,5.5
89,Mahindra XUV500 W8 2WD,2014,First,7,58000.0,Diesel,Manual,15.1,2179.0,140.0,8.1
90,Honda Amaze SX i-DTEC,2015,First,5,30000.0,Diesel,Manual,25.8,1498.0,98.6,3.5
91,Volkswagen Polo Diesel Highline 1.2L,2013,First,5,34212.0,Diesel,Manual,22.07,1199.0,73.9,2.79
92,Hyundai Verna Transform SX VGT CRDi,2010,First,5,70002.0,Diesel,Manual,16.2,1493.0,110.0,3.45
93,Suzuki Wagon R VXI BS IV,2016,First,5,62000.0,Petrol,Manual,18.9,998.0,67.1,4.45
94,Volkswagen Polo Petrol Highline 1.6L,2010,First,5,62001.0,Petrol,Manual,15.26,1598.0,103.5,2.65
95,Hyundai i20 1.4 CRDi Sportz,2011,Second,5,78958.0,Diesel,Manual,23.0,1396.0,90.0,3.8
96,Hyundai i20 Asta 1.2,2014,First,5,30180.0,Petrol,Manual,18.5,1197.0,82.85,4.65
97,Datsun GO Plus T Petrol,2017,First,7,32851.0,Petrol,Manual,19.83,1198.0,67.0,3.95
98,Audi A4 3.0 TDI Quattro Premium,2010,First,5,30000.0,Diesel,Automatic,14.94,2967.0,241.4,9.8
99,Hyundai i20 2015-2017 Asta,2009,Second,5,66000.0,Petrol,Manual,17.0,1197.0,80.0,2.7
100,Suzuki Omni 5 Str STD,2010,First,5,93850.0,Petrol,Manual,14.0,796.0,35.0,2.41
101,Toyota Etios Liva 1.2 G,2014,First,5,53000.0,Petrol,Manual,17.71,1197.0,78.9,3.9
102,Jaguar XF 3.0 Litre S Premium Luxury,2011,Second,5,78000.0,Diesel,Automatic,14.74,2993.0,270.9,24.0
103,Mahindra XUV500 W8 2WD,2012,Second,7,65000.0,Diesel,Manual,16.0,2179.0,140.0,5.75
104,Hyundai Verna 1.6 SX CRDI (O) AT,2014,First,5,40000.0,Diesel,Automatic,22.32,1582.0,126.32,5.25
105,Toyota Innova Crysta 2.8 ZX AT,2017,First,7,30000.0,Diesel,Automatic,11.36,2755.0,171.5,19.25
106,Suzuki Eeco 5 Seater AC,2017,First,5,38053.0,Petrol,Manual,15.1,1196.0,73.0,3.91
107,Tata Nano Twist XT,2014,First,4,25500.0,Petrol,Manual,25.4,624.0,37.5,2.15
108,BMW 3 Series 320d Luxury Line,2015,First,5,56087.0,Diesel,Automatic,22.69,1995.0,190.0,20.75
109,Honda Civic 2006-2010 1.8 V MT,2010,First,5,71088.0,Petrol,Manual,13.5,1799.0,130.0,3.35
110,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,First,7,55000.0,Diesel,Manual,12.99,2494.0,100.6,11.11
111,Volvo V40 Cross Country D3,2014,First,5,32700.0,Diesel,Automatic,23.3,1984.0,150.0,20.0
112,Nissan Micra XV CVT,2016,First,5,39882.0,Petrol,Automatic,19.15,1198.0,75.94,6.55
113,BMW 5 Series 2010-2013 525i,2009,First,5,128000.0,Petrol,Automatic,10.8,2497.0,215.0,7.0
114,Suzuki Vitara Brezza VDi,2016,First,5,55000.0,Diesel,Manual,24.3,1248.0,88.5,7.5
115,Mercedes-Benz B Class B200 CDI,2014,Second,5,53753.0,Diesel,Automatic,15.0,2143.0,107.3,16.75
116,Hyundai Verna CRDi 1.6 SX Option,2018,First,5,10250.0,Diesel,Manual,22.0,1582.0,126.2,10.95
117,Suzuki Wagon R LXI BS IV,2011,First,5,43874.0,Petrol,Manual,18.9,998.0,67.1,2.45
118,Tata Nano XTA,2017,First,4,32684.0,Petrol,Automatic,21.9,624.0,37.48,3.23
119,Mahindra Scorpio VLX,2014,First,8,42000.0,Diesel,Manual,12.05,2179.0,120.0,7.75
120,Mercedes-Benz New C-Class 200 K AT,2009,First,5,28352.0,Petrol,Automatic,11.7,1796.0,178.0,9.35
121,Honda CR-V 2.4 MT,2007,Second,5,47700.0,Petrol,Manual,10.8,2354.0,152.0,5.25
122,Volkswagen Vento 1.5 TDI Comfortline AT,2015,First,5,55000.0,Diesel,Automatic,21.21,1498.0,103.2,7.25
123,Suzuki Ciaz VXi Plus,2017,First,5,44285.0,Petrol,Manual,20.73,1373.0,91.1,7.47
124,Mahindra XUV500 AT W10 FWD,2016,First,7,54000.0,Diesel,Automatic,16.0,2179.0,140.0,13.25
125,Suzuki Ritz VXI ABS,2016,First,5,30232.0,Petrol,Manual,21.1,1197.0,85.8,5.81
126,Suzuki Alto K10 VXI,2014,First,5,88500.0,Petrol,Manual,24.07,998.0,67.1,2.6
127,Mercedes-Benz SLC 43 AMG,2017,First,2,13372.0,Petrol,Automatic,19.0,2996.0,362.07,54.0
128,Hyundai Verna VTVT 1.6 AT SX Plus,2019,First,5,12645.0,Petrol,Automatic,17.0,1591.0,121.3,11.5
129,Suzuki Alto LXi BSIII,2010,Second,5,94385.0,Petrol,Manual,19.7,796.0,46.3,1.6
130,BMW 1 Series 118d Base,2015,First,5,31821.0,Diesel,Automatic,20.58,1995.0,143.0,17.22
131,Honda Jazz 1.2 V CVT i VTEC,2015,First,5,12000.0,Petrol,Automatic,19.0,1199.0,88.7,6.0
132,Honda Civic 2006-2010 1.8 V MT,2012,First,5,88578.0,Petrol,Manual,13.5,1799.0,130.0,3.95
133,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,First,5,44965.0,Diesel,Automatic,19.27,2143.0,170.0,17.95
134,Honda Amaze SX i-DTEC,2014,First,5,45044.0,Diesel,Manual,25.8,1498.0,98.6,3.7
135,Suzuki Swift VVT VXI,2016,First,5,34204.0,Petrol,Manual,22.0,1197.0,81.8,5.43
136,Toyota Fortuner 3.0 Diesel,2012,First,7,91235.0,Diesel,Manual,11.5,2982.0,171.0,13.49
137,Chevrolet Beat LT Option,2014,First,5,38800.0,Petrol,Manual,18.6,1199.0,76.8,2.85
138,Skoda Rapid 1.5 TDI Elegance,2013,First,5,83000.0,Diesel,Manual,21.14,1498.0,103.52,4.75
139,Suzuki Ciaz 1.4 Alpha,2018,First,5,41283.0,Petrol,Manual,20.73,1373.0,91.1,9.9
140,Audi RS5 Coupe,2013,First,4,23000.0,Petrol,Automatic,11.05,2894.0,444.0,37.0
141,BMW 3 Series Luxury Line,2014,First,5,48000.0,Diesel,Automatic,21.76,1995.0,190.0,26.5
142,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,First,5,48214.0,Diesel,Automatic,17.11,1968.0,174.33,23.32
143,Suzuki Swift VDI,2016,First,5,35000.0,Diesel,Manual,22.9,1248.0,74.0,6.25
144,Mercedes-Benz S Class 2005 2013 S 500,2010,First,5,35277.0,Petrol,Automatic,7.81,5461.0,362.9,30.0
145,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,First,5,54620.0,Diesel,Automatic,21.66,1498.0,103.52,9.86
146,Skoda Superb Elegance 2.0 TDI CR AT,2012,First,5,136997.0,Diesel,Automatic,17.2,1968.0,138.1,8.5
147,Hyundai EON Magna Plus,2019,First,5,14322.0,Petrol,Manual,21.1,814.0,55.2,4.23
148,Volkswagen Polo Diesel Trendline 1.2L,2012,First,5,65634.0,Diesel,Manual,22.07,1199.0,73.9,3.5
149,Datsun GO NXT,2016,First,5,6000.0,Petrol,Manual,20.63,1198.0,67.06,2.5
150,Honda Brio S MT,2013,First,5,33280.0,Petrol,Manual,19.4,1198.0,86.8,2.39
151,Mercedes-Benz B Class B180,2013,First,5,29000.0,Petrol,Automatic,14.8,1595.0,120.7,11.25
152,Honda City i DTEC V,2015,First,5,42831.0,Diesel,Manual,26.0,1498.0,98.6,7.11
153,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,First,7,90000.0,Diesel,Manual,12.99,2494.0,100.6,10.9
154,Suzuki Swift VXI Optional,2017,First,5,24005.0,Petrol,Manual,20.4,1197.0,81.8,6.2
155,Mahindra XUV500 W8 2WD,2012,First,7,32792.0,Diesel,Manual,15.1,2179.0,140.0,7.9
156,Ford Ecosport 1.5 DV5 MT Ambiente,2014,First,5,147898.0,Diesel,Manual,22.7,1498.0,89.84,4.42
157,Toyota Fortuner 4x2 Manual,2012,First,7,131765.0,Diesel,Manual,13.0,2982.0,168.5,13.5
158,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,First,5,65000.0,Diesel,Automatic,21.5,1498.0,108.5,6.25
159,Ford Figo Diesel Titanium,2010,Second,5,66123.0,Diesel,Manual,20.0,1399.0,68.0,2.1
160,BMW X5 xDrive 30d,2015,First,5,41000.0,Diesel,Automatic,15.3,2993.0,258.0,45.0
161,Mercedes-Benz New C-Class C 220 CDI Style,2017,First,5,23550.0,Diesel,Automatic,19.27,2143.0,167.62,33.66
162,Honda Brio V MT,2012,Second,5,45000.0,Petrol,Manual,19.4,1198.0,86.8,3.65
163,Hyundai i10 Magna 1.2,2013,First,5,60000.0,Petrol,Manual,20.36,1197.0,78.9,2.75
164,Mercedes-Benz GLC 220,2016,First,5,44414.0,Diesel,Automatic,17.9,2143.0,170.0,42.5
165,Hyundai Grand i10 1.2 Kappa Asta,2019,First,5,1000.0,Petrol,Manual,18.9,1197.0,81.86,6.5
166,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,Second,5,62500.0,Diesel,Automatic,17.68,1968.0,174.33,19.0
167,Volkswagen Vento Petrol Highline AT,2013,Second,5,21000.0,Petrol,Automatic,14.4,1598.0,103.6,4.45
168,Mini Countryman Cooper D,2017,Second,5,8525.0,Diesel,Automatic,16.6,1998.0,112.0,23.0
169,Hyundai i20 Asta 1.4 CRDi,2014,First,5,29000.0,Diesel,Manual,22.54,1396.0,88.73,8.35
170,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,First,5,40000.0,Diesel,Automatic,17.68,1968.0,174.33,22.95
171,Chevrolet Beat Diesel LT,2012,First,5,88000.0,Diesel,Manual,25.44,936.0,57.6,1.5
172,Skoda Superb Elegance 1.8 TSI AT,2012,First,5,53537.0,Petrol,Automatic,13.7,1798.0,157.75,6.89
173,Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,Second,5,216000.0,Diesel,Manual,17.8,1399.0,68.0,1.45
174,BMW 5 Series 520d Luxury Line,2014,First,5,51000.0,Diesel,Automatic,22.48,1995.0,190.0,33.5
175,Chevrolet Optra Magnum 1.6 LS BS3,2007,First,5,118500.0,Petrol,Manual,12.9,1598.0,102.5,1.25
176,Volkswagen Polo Diesel Highline 1.2L,2012,First,5,63000.0,Diesel,Manual,22.07,1199.0,73.9,4.2
177,Renault Lodgy 110PS RxZ 8 Seater,2015,First,8,25000.0,Diesel,Manual,19.98,1461.0,108.5,6.75
178,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,First,5,37382.0,Diesel,Automatic,13.0,2143.0,201.1,32.0
179,Suzuki Baleno Alpha,2017,First,5,24773.0,Petrol,Manual,21.4,1197.0,83.1,7.5
180,Hyundai Verna 1.6 SX,2012,First,5,62000.0,Diesel,Manual,22.32,1582.0,126.32,4.6
181,Hyundai i10 Magna 1.1,2017,First,5,52340.0,Petrol,Manual,19.81,1086.0,68.05,4.04
182,Mahindra Scorpio 1.99 S10 4WD,2016,First,7,56739.0,Diesel,Manual,15.4,1997.0,120.0,10.31
183,Land Rover Range Rover 2.2L Dynamic,2018,First,5,36091.0,Diesel,Automatic,12.7,2179.0,187.7,55.76
184,Ford Figo Diesel ZXI,2010,First,5,120000.0,Diesel,Manual,20.0,1399.0,68.0,2.6
185,Suzuki Ertiga ZDI,2016,First,7,33000.0,Diesel,Manual,25.47,1248.0,88.5,8.5
186,Honda Amaze S i-Dtech,2014,First,5,52000.0,Diesel,Manual,25.8,1498.0,98.6,3.5
187,Hyundai i10 Magna,2015,First,5,43571.0,Petrol,Manual,20.36,1197.0,78.9,3.55
188,Honda Amaze S i-Dtech,2013,First,5,50000.0,Diesel,Manual,25.8,1498.0,98.6,3.25
189,Skoda Laura Ambiente,2008,First,5,113000.0,Diesel,Manual,17.5,1896.0,106.0,4.5
190,Renault Duster 85PS Diesel RxL,2014,First,5,90000.0,Diesel,Manual,19.87,1461.0,83.8,5.35
191,Mahindra NuvoSport N6,2017,Second,7,29000.0,Diesel,Manual,17.45,1493.0,100.0,6.5
192,Suzuki Vitara Brezza ZDi Plus Dual Tone,2016,First,5,20000.0,Diesel,Manual,24.3,1248.0,88.5,9.0
193,Hyundai i20 Asta Option 1.2,2016,First,5,61012.0,Petrol,Manual,18.6,1197.0,81.83,6.0
194,Skoda Fabia 1.4 MPI Ambiente,2009,First,5,87459.0,Petrol,Manual,14.7,1390.0,85.0,2.75
195,Tata Indigo eCS GLX,2010,First,5,70500.0,Petrol,Manual,15.64,1193.0,64.1,1.5
196,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,First,5,64103.0,Diesel,Automatic,15.73,1968.0,174.33,19.9
197,Skoda Octavia Elegance 1.8 TSI AT,2014,First,5,76000.0,Petrol,Automatic,14.7,1798.0,177.5,10.0
198,Toyota Etios Liva GD SP,2014,First,5,104000.0,Diesel,Manual,23.59,1364.0,67.06,3.0
199,Mercedes-Benz B Class B180,2014,First,5,37245.0,Petrol,Automatic,14.8,1595.0,120.7,11.96
200,Honda Amaze S Diesel,2013,First,5,45000.0,Diesel,Manual,27.4,1498.0,98.6,3.25
201,Hyundai Verna 1.6 SX,2012,Second,5,117837.0,Diesel,Manual,22.32,1582.0,126.32,4.75
202,Renault Duster 85PS Diesel RxL Optional,2014,First,5,30000.0,Diesel,Manual,20.46,1461.0,83.8,5.95
203,Hyundai Creta 1.6 VTVT S,2015,Second,5,27057.0,Petrol,Manual,15.29,1591.0,121.3,8.15
204,Suzuki Wagon R AMT VXI,2016,First,5,8500.0,Petrol,Automatic,20.51,998.0,67.0,4.22
205,Mercedes-Benz New C-Class C250 Avantgarde,2010,First,5,30500.0,Petrol,Automatic,11.74,1796.0,186.0,10.5
206,Audi A8 L 3.0 TDI quattro,2012,First,5,56000.0,Diesel,Automatic,11.8,2967.0,246.7,45.0
207,Hyundai i10 Magna 1.1,2012,Second,5,44000.0,Petrol,Manual,19.81,1086.0,68.05,2.9
208,Skoda Rapid 1.6 MPI AT Style Black Package,2017,First,5,10500.0,Petrol,Automatic,14.3,1598.0,103.52,8.9
209,Skoda Superb Style 1.8 TSI AT,2017,First,5,26000.0,Petrol,Automatic,14.67,1798.0,177.46,26.0
210,Hyundai i20 Active 1.2 SX,2018,First,5,25166.0,Petrol,Manual,17.19,1197.0,81.86,8.22
211,Honda Amaze VX i-DTEC,2014,Second,5,64000.0,Diesel,Manual,25.8,1498.0,98.6,3.5
212,Suzuki Wagon R LXI,2004,Second,5,61000.0,Petrol,Manual,18.9,998.0,67.1,1.25
213,Mahindra Verito 1.5 D4 BSIV,2013,First,5,107000.0,Diesel,Manual,21.03,1461.0,65.0,3.7
214,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,First,5,29161.0,Diesel,Automatic,19.27,2143.0,167.62,39.41
215,Suzuki Wagon R VXI,2013,First,5,32000.0,Petrol,Manual,22.5,998.0,67.04,2.65
216,Nissan Terrano XV Premium 110 PS Anniversary Edition,2015,Second,5,46173.0,Diesel,Manual,19.01,1461.0,108.5,8.92
217,Mini Cooper Convertible S,2017,First,4,26327.0,Petrol,Automatic,16.82,1998.0,189.08,35.67
218,Tata Indica V2 DLS BSII,2007,Second,5,200000.0,Diesel,Manual,17.2,1396.0,53.5,0.85
219,Chevrolet Beat LT,2016,Second,5,60813.0,Petrol,Manual,18.6,1199.0,76.8,3.32
220,Volkswagen Polo Diesel Comfortline 1.2L,2012,First,5,45000.0,Diesel,Manual,22.07,1199.0,73.9,3.6
221,Suzuki Swift ZDi,2016,First,5,64000.0,Diesel,Manual,22.9,1248.0,74.0,6.8
222,Ford Figo Diesel EXI,2012,First,5,41284.0,Diesel,Manual,20.0,1399.0,68.05,2.5
223,Toyota Innova Crysta 2.8 GX AT,2019,First,7,14165.0,Diesel,Automatic,11.36,2755.0,171.5,19.64
224,Hyundai Santa Fe 4x4 AT,2011,Second,7,67000.0,Diesel,Automatic,11.72,2199.0,194.3,7.0
225,Honda City i-VTEC V,2011,First,5,32572.0,Petrol,Manual,17.4,1497.0,117.3,3.87
226,Hyundai i20 1.2 Magna Executive,2018,First,5,14960.0,Petrol,Manual,18.6,1197.0,81.83,6.27
227,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,First,5,55980.0,Diesel,Automatic,19.27,2143.0,167.62,18.12
228,Chevrolet Beat Diesel LT,2013,First,5,74000.0,Diesel,Manual,25.44,936.0,57.6,2.65
229,Hyundai i20 Sportz 1.4 CRDi,2015,First,5,56847.0,Diesel,Manual,22.54,1396.0,88.73,7.2
230,Toyota Innova 2.5 Z Diesel 7 Seater,2015,First,7,121374.0,Diesel,Manual,12.99,2494.0,100.6,14.3
231,Suzuki Ertiga VDI,2013,First,7,52000.0,Diesel,Manual,20.77,1248.0,88.76,6.9
232,Toyota Innova 2.5 V Diesel 7-seater,2014,First,7,118000.0,Diesel,Manual,12.8,2494.0,102.0,10.75
233,Honda City i VTEC V,2016,First,5,33915.0,Petrol,Manual,17.8,1497.0,117.3,8.09
234,BMW X1 sDrive20d,2014,First,5,82002.0,Diesel,Automatic,17.05,1995.0,184.0,18.5
235,Hyundai Grand i10 CRDi Era,2017,First,5,33000.0,Diesel,Manual,24.0,1120.0,70.0,4.75
